iter	Passed	Remaining
0	56	56341
1	56	28278
2	56	18927
3	57	14245
4	57	11432
5	57	9557
6	57	8218
7	58	7223
8	58	6445
9	58	5820
10	59	5310
11	59	4881
12	59	4518
13	59	4208
14	60	3940
15	60	3705
16	60	3498
17	60	3321
18	61	3158
19	61	3008
20	61	2873
21	61	2753
22	62	2641
23	62	2537
24	62	2441
25	62	2353
26	63	2271
27	63	2196
28	63	2125
29	63	2059
30	63	1998
31	64	1941
32	64	1887
33	64	1838
34	64	1790
35	65	1745
36	65	1703
37	65	1662
38	65	1623
39	66	1586
40	66	1551
41	66	1517
42	66	1485
43	66	1454
44	67	1425
45	67	1397
46	67	1371
47	67	1345
48	68	1320
49	68	1297
50	68	1274
51	68	1252
52	69	1233
53	69	1213
54	69	1194
55	69	1175
56	69	1157
57	70	1139
58	70	1122
59	70	1106
60	70	1090
61	71	1074
62	71	1059
63	71	1045
64	71	1031
65	72	1018
66	72	1005
67	72	993
68	72	981
69	72	969
70	73	957
71	73	946
72	73	935
73	73	924
74	74	914
75	74	904
76	74	895
77	74	886
78	75	876
79	75	867
80	75	857
81	75	848
82	75	838
83	76	830
84	76	821
85	76	813
86	76	805
87	77	798
88	77	790
89	77	783
90	77	776
91	77	769
92	78	762
93	78	755
94	78	748
95	78	742
96	79	735
97	79	729
98	79	722
99	79	717
100	79	710
101	80	705
102	80	700
103	80	694
104	80	689
105	81	684
106	81	680
107	81	675
108	81	670
109	82	664
110	82	659
111	82	655
112	82	650
113	83	646
114	83	641
115	83	636
116	83	632
117	83	627
118	84	623
119	84	618
120	84	614
121	84	609
122	84	605
123	85	602
124	85	598
125	85	594
126	85	590
127	86	586
128	86	583
129	86	579
130	86	575
131	86	572
132	87	568
133	87	565
134	87	562
135	88	559
136	88	555
137	88	552
138	88	549
139	88	546
140	89	543
141	89	539
142	89	536
143	89	533
144	90	530
145	90	528
146	90	525
147	90	522
148	90	519
149	91	516
150	91	513
151	91	510
152	91	508
153	92	505
154	92	503
155	92	500
156	92	497
157	92	495
158	93	492
159	93	489
160	93	486
161	93	484
162	93	481
163	94	479
164	94	477
165	94	474
166	94	472
167	94	470
168	95	468
169	95	465
170	95	463
171	95	462
172	96	459
173	96	457
174	96	455
175	96	454
176	97	452
177	97	450
178	97	449
179	98	447
180	98	444
181	98	442
182	98	440
183	98	438
184	99	436
185	99	435
186	99	433
187	99	431
188	100	429
189	100	427
190	100	426
191	100	424
192	101	422
193	101	420
194	101	418
195	101	417
196	101	415
197	102	413
198	102	411
199	102	410
200	102	408
201	102	406
202	103	405
203	103	403
204	103	402
205	103	400
206	104	399
207	104	397
208	104	395
209	104	394
210	105	392
211	105	391
212	105	389
213	105	388
214	105	386
215	106	385
216	106	383
217	106	381
218	106	380
219	106	378
220	107	377
221	107	376
222	107	374
223	107	373
224	107	371
225	108	370
226	108	369
227	108	367
228	108	366
229	109	364
230	109	363
231	109	362
232	109	360
233	109	359
234	110	358
235	110	357
236	110	355
237	110	354
238	111	353
239	111	352
240	111	351
241	111	350
242	112	349
243	112	347
244	112	346
245	112	345
246	112	344
247	113	343
248	113	342
249	113	340
250	113	339
251	114	338
252	114	337
253	114	336
254	114	334
255	114	333
256	115	332
257	115	331
258	115	330
259	115	329
260	116	328
261	116	327
262	116	326
263	116	325
264	116	324
265	117	323
266	117	322
267	117	321
268	117	320
269	118	319
270	118	318
271	118	317
272	118	316
273	119	315
274	119	314
275	119	313
276	119	312
277	120	311
278	120	310
279	120	309
280	120	308
281	120	307
282	121	306
283	121	305
284	121	304
285	121	303
286	121	302
287	122	301
288	122	300
289	122	300
290	122	299
291	122	298
292	123	297
293	123	296
294	123	295
295	123	294
296	124	293
297	124	292
298	124	291
299	124	290
300	124	290
301	125	289
302	125	288
303	125	287
304	125	286
305	126	285
306	126	285
307	126	284
308	126	283
309	127	283
310	127	282
311	127	281
312	127	280
313	127	279
314	128	278
315	128	278
316	128	277
317	128	276
318	129	275
319	129	274
320	129	274
321	129	273
322	130	272
323	130	271
324	130	270
325	130	270
326	130	269
327	130	268
328	131	267
329	131	266
330	131	266
331	131	265
332	132	264
333	132	263
334	132	262
335	132	262
336	132	261
337	133	260
338	133	260
339	133	259
340	133	258
341	134	257
342	134	257
343	134	256
344	134	255
345	134	255
346	135	254
347	135	253
348	135	253
349	136	252
350	136	251
351	136	251
352	136	250
353	136	249
354	137	249
355	137	248
356	137	247
357	137	247
358	137	246
359	138	245
360	138	244
361	138	244
362	138	243
363	139	242
364	139	242
365	139	241
366	139	241
367	140	240
368	140	239
369	140	239
370	140	238
371	140	238
372	141	237
373	141	236
374	141	236
375	141	235
376	142	234
377	142	234
378	142	233
379	142	233
380	143	232
381	143	231
382	143	231
383	143	230
384	143	229
385	144	229
386	144	228
387	144	228
388	144	227
389	145	227
390	145	226
391	145	225
392	145	225
393	146	224
394	146	224
395	146	223
396	146	223
397	147	222
398	147	221
399	147	221
400	147	220
401	147	219
402	148	219
403	148	218
404	148	218
405	148	217
406	148	217
407	149	216
408	149	215
409	149	215
410	149	214
411	150	214
412	150	213
413	150	213
414	150	212
415	150	211
416	151	211
417	151	210
418	151	210
419	151	209
420	151	209
421	152	208
422	152	207
423	152	207
424	152	206
425	153	206
426	153	205
427	153	205
428	153	204
429	153	204
430	154	203
431	154	203
432	154	202
433	154	201
434	155	201
435	155	200
436	155	200
437	155	199
438	156	199
439	156	198
440	156	198
441	156	197
442	156	197
443	157	196
444	157	196
445	157	195
446	157	195
447	158	194
448	158	194
449	158	193
450	158	193
451	159	192
452	159	192
453	159	191
454	159	191
455	159	190
456	160	190
457	160	189
458	160	189
459	160	188
460	161	188
461	161	187
462	161	187
463	161	186
464	161	186
465	162	185
466	162	185
467	162	184
468	162	184
469	163	183
470	163	183
471	163	183
472	163	182
473	164	182
474	164	181
475	164	181
476	164	180
477	164	180
478	165	179
479	165	179
480	165	178
481	165	178
482	166	177
483	166	177
484	166	176
485	166	176
486	166	175
487	167	175
488	167	174
489	167	174
490	167	173
491	168	173
492	168	172
493	168	172
494	168	172
495	168	171
496	169	171
497	169	170
498	169	170
499	169	169
500	170	169
501	170	168
502	170	168
503	170	167
504	170	167
505	171	166
506	171	166
507	171	166
508	171	165
509	171	165
510	172	164
511	172	164
512	172	163
513	172	163
514	172	162
515	173	162
516	173	161
517	173	161
518	173	161
519	174	160
520	174	160
521	174	159
522	174	159
523	174	158
524	175	158
525	175	158
526	175	157
527	175	157
528	175	156
529	176	156
530	176	155
531	176	155
532	176	154
533	176	154
534	177	154
535	177	153
536	177	153
537	177	152
538	178	152
539	178	151
540	178	151
541	178	151
542	179	150
543	179	150
544	179	149
545	179	149
546	179	149
547	180	148
548	180	148
549	180	147
550	180	147
551	181	146
552	181	146
553	181	146
554	181	145
555	181	145
556	182	144
557	182	144
558	182	144
559	182	143
560	183	143
561	183	142
562	183	142
563	183	141
564	183	141
565	184	141
566	184	140
567	184	140
568	184	139
569	184	139
570	185	139
571	185	138
572	185	138
573	185	137
574	186	137
575	186	137
576	186	136
577	186	136
578	186	135
579	187	135
580	187	135
581	187	134
582	187	134
583	187	133
584	188	133
585	188	133
586	189	133
587	189	132
588	189	132
589	189	131
590	189	131
591	190	131
592	190	130
593	190	130
594	190	129
595	190	129
596	191	129
597	191	128
598	191	128
599	191	127
600	192	127
601	192	127
602	192	126
603	192	126
604	192	125
605	193	125
606	193	125
607	193	124
608	193	124
609	194	124
610	194	123
611	194	123
612	194	122
613	194	122
614	195	122
615	195	121
616	195	121
617	195	120
618	195	120
619	196	120
620	196	119
621	196	119
622	196	119
623	197	118
624	197	118
625	197	118
626	197	117
627	198	117
628	198	116
629	198	116
630	198	116
631	198	115
632	199	115
633	199	115
634	199	114
635	199	114
636	200	114
637	200	113
638	200	113
639	200	112
640	201	112
641	201	112
642	201	111
643	201	111
644	201	111
645	202	110
646	202	110
647	202	110
648	202	109
649	203	109
650	203	109
651	203	108
652	203	108
653	204	107
654	204	107
655	204	107
656	204	106
657	204	106
658	205	106
659	205	105
660	205	105
661	205	105
662	206	104
663	206	104
664	206	104
665	206	103
666	207	103
667	207	103
668	207	102
669	207	102
670	207	101
671	208	101
672	208	101
673	208	100
674	208	100
675	208	100
676	209	99
677	209	99
678	209	99
679	209	98
680	209	98
681	210	98
682	210	97
683	210	97
684	210	97
685	211	96
686	211	96
687	211	95
688	211	95
689	212	95
690	212	94
691	212	94
692	212	94
693	212	93
694	213	93
695	213	93
696	213	92
697	213	92
698	214	92
699	214	91
700	214	91
701	214	91
702	214	90
703	215	90
704	215	90
705	215	89
706	215	89
707	216	89
708	216	88
709	216	88
710	216	88
711	216	87
712	217	87
713	217	87
714	217	86
715	217	86
716	217	86
717	218	85
718	218	85
719	218	84
720	218	84
721	218	84
722	219	83
723	219	83
724	219	83
725	219	82
726	220	82
727	220	82
728	220	81
729	220	81
730	221	81
731	221	81
732	221	80
733	221	80
734	221	80
735	222	79
736	222	79
737	222	79
738	222	78
739	222	78
740	223	77
741	223	77
742	223	77
743	223	77
744	224	76
745	224	76
746	224	76
747	224	75
748	225	75
749	225	75
750	225	74
751	225	74
752	226	74
753	226	73
754	226	73
755	226	73
756	226	72
757	227	72
758	227	72
759	227	71
